date,rank,access_count,series,file_name,main_link,file_type,file_download_link
2021-11-21,1,"1,453",国勢調査 - 時系列データ,男女別人口－全国，都道府県（大正９年～平成27年）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000031524010,CSV,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031524010&fileKind=1
2021-11-21,2,171,人口動態調査,人口動態統計速報　令和３年８月分,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032127234,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032127234&fileKind=2
2021-11-21,3,143,鉄道輸送統計調査,鉄・軌道旅客輸送 旅客営業キロ及び旅客数量（１）総合計,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032120270,EXCEL 閲覧用,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032120270&fileKind=4
2021-11-21,4,97,国勢調査 - 令和２年国勢調査,男女別人口，2015年（平成27年）の人口（組替），世帯数，2015年（平成27年）の世帯数（組替），5年間の人口増減数，5年間の人口増減率，5年間の世帯増減数，5年間の世帯増減率，人口性比，面積（参考）及び人口密度－全国，都道府県，市区町村,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032092710,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032092710&fileKind=0
2021-11-21,5,91,在留外国人統計（旧登録外国人統計）,国籍・地域別　在留資格（在留目的）別　在留外国人,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032104290,EXCEL 閲覧用,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032104290&fileKind=4
2021-11-21,6,66,国勢調査 - 都道府県・市区町村別の主な結果,平成27年 都道府県・市区町村別の主な結果,https://www.e-stat.go.jp/stat-search/files?stat_infid=000031594311,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031594311&fileKind=0
2021-11-21,7,52,犯罪統計 - 令和２年１～１２月犯罪統計【確定値】,令和２年１～１２月犯罪統計【確定値】,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032049031,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032049031&fileKind=2
2021-11-21,8,45,家計調査,＜品目分類＞1世帯当たり年間の支出金額，購入数量及び平均価格 都市階級・地方・都道府県庁所在市別 二人以上の世帯・勤労者世帯・無職世帯,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032048835,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032048835&fileKind=0
2021-11-21,9,45,人口推計,年齢(5歳階級)、男女別人口(2021年5月平成27年国勢調査を基準とする推計値、2021年10月概算値）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032126213,EXCEL,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032126213&fileKind=0
2021-11-21,10,45,道路の交通に関する統計 - 交通事故統計月報,全資料 交通事故統計月報（令和３年10月末）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000032138066,PDF,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032138066&fileKind=2
